Branch,SSLC,PUC,BE,Arrears,Internships,C,C++,Java,Python,JavaScript,PHP,Data_Structure,DBMS,Web_dev,App_dev,PCB,Placed,Package
1,94,90,8.12,0,3,1,1,0,1,1,1,1,1,1,1,0,Yes,4.5
1,93,76,8.33,0,2,1,0,0,1,0,0,1,1,1,0,0,Yes,4
4,87,76,7.2,0,0,1,0,0,0,0,0,0,0,0,0,0,No,0
1,89,89,8,0,1,1,1,0,1,0,0,0,0,1,0,0,No,0
1,91,89,8.35,0,1,1,0,1,1,0,0,1,1,1,0,0,Yes,4.5
2,96,88,8.8,0,0,1,1,0,0,0,0,0,0,0,0,0,Yes,4
5,96,90,8.3,0,1,1,0,0,0,0,0,0,0,0,0,0,No,0
5,96,87,8,0,1,1,0,0,0,0,0,0,0,0,0,0,Yes,3.5
6,84,80,7.5,0,2,1,0,0,1,0,0,0,1,0,0,1,No,0
1,89,86,7.81,0,1,1,1,0,1,0,0,1,1,1,0,0,Yes,4
1,93,59,6.4,0,1,1,0,0,1,0,0,1,1,1,0,0,Yes,3.5
1,87,83,7.51,0,1,1,0,1,0,0,0,1,1,1,0,0,Yes,5
2,96,89,8.74,0,1,1,0,0,1,0,0,0,0,0,0,0,Yes,4
1,90,73,6.88,0,1,0,0,0,1,0,0,0,1,0,0,0,Yes,3.5
3,96,82,7.6,0,1,1,0,0,0,0,0,0,0,0,0,0,Yes,4
6,95,95,8.48,0,1,0,0,0,1,0,0,0,0,0,0,0,Yes,4
5,94,82,8,0,1,1,0,0,0,0,0,0,0,0,0,0,No,0
1,74,60,7,0,1,1,0,0,1,0,0,1,1,0,0,0,Yes,3
3,85,79,7.3,0,1,1,0,0,0,0,0,0,0,0,0,0,No,0
3,74,69,6.6,0,1,1,0,0,1,0,0,0,0,0,0,0,No,0
4,92,80,8.3,0,1,1,0,0,0,0,0,0,0,0,0,0,Yes,3.5
4,95,78,8,0,1,1,0,0,1,0,0,0,0,0,0,0,No,0
5,80,78,8,0,2,1,0,0,0,0,0,0,0,0,0,0,No,0
4,70,67,7.39,0,2,1,0,0,0,0,0,0,0,0,0,0,No,0
1,83,75,7.8,0,1,1,1,0,1,0,0,0,0,0,0,0,Yes,3.5
1,87,86,8,0,0,1,1,0,1,0,1,1,0,1,0,0,Yes,10
4,83,78,6.24,0,2,1,1,0,1,0,0,0,0,0,0,0,No,0
1,97,90,8.05,0,0,1,1,0,1,0,0,0,1,1,0,0,Yes,4.5
1,91,79,7.47,0,1,1,0,1,0,0,0,1,1,0,0,0,Yes,3.5
5,83,75,8.64,0,1,1,0,0,0,0,0,0,0,0,0,0,No,0
1,76,70,7.5,0,1,1,0,1,0,0,0,1,1,0,0,0,No,0
1,76,72,7.5,1,2,1,0,0,1,0,0,0,0,0,0,0,No,0
1,97,84,7.6,0,1,1,0,1,0,0,0,1,1,0,0,0,No,0
1,92,84,6.9,0,1,1,0,1,1,0,0,1,1,0,0,0,No,0
1,79,64,6.86,0,1,1,0,1,1,0,0,0,0,1,0,0,No,0
2,100,91,8.86,0,3,1,0,0,1,0,0,1,0,0,0,1,Yes,5.5
5,96,85,8.8,0,1,1,0,0,1,0,0,0,0,0,0,0,No,0
4,86,64,7.2,0,1,1,1,1,0,0,0,0,0,0,0,0,No,0
1,95,82,8.43,0,2,1,0,1,1,0,0,0,1,0,0,0,Yes,3.5
4,87,84,8.15,0,2,1,0,0,0,0,0,0,0,0,0,0,No,0
1,96,92,8.9,0,1,1,0,1,1,0,0,1,1,1,0,0,Yes,4.5
1,95,84,8.25,0,1,1,0,1,1,0,0,1,1,1,0,0,Yes,3.5
1,78,63,7.5,0,0,1,0,0,1,0,0,0,0,0,0,0,No,0
2,94,92,9.38,0,1,1,0,0,1,0,0,1,0,0,0,1,Yes,4
2,92,85,8.5,0,1,1,0,0,1,0,0,0,0,0,0,1,Yes,3.5
2,85,78,8,0,0,1,0,0,1,1,0,1,1,0,0,1,Yes,4
2,70,69,7.5,0,1,1,0,0,0,0,0,0,0,0,0,1,Yes,3
2,75,65,8.2,0,1,1,0,0,1,0,0,0,0,0,0,1,Yes,3.5
2,65,60,6.4,1,0,1,0,0,0,0,0,0,0,0,0,0,No,0
2,72,65,6.8,1,1,1,0,0,0,0,0,0,0,0,0,1,No,0
2,90,75,8.8,0,1,1,0,0,1,0,0,0,0,0,0,1,Yes,4
1,89,82,8.3,0,1,1,0,1,1,1,1,1,1,0,1,0,Yes,6
1,70,68,6.2,1,0,1,0,0,1,0,0,1,0,0,0,0,No,0
2,96,92,9,0,2,1,0,0,1,0,0,1,1,0,0,0,Yes,4.5
2,68,65,5.5,1,1,1,0,0,0,0,0,0,0,0,0,0,No,0
1,90,87,9,0,1,1,0,0,0,0,0,0,0,0,0,0,Yes,3.5
2,83,78,8,0,1,1,0,0,0,0,0,0,0,0,0,0,No,0
2,83,72,7.7,0,0,1,0,0,0,0,0,0,0,0,0,1,Yes,3.5
6,85,83,8.6,0,1,1,0,0,1,0,0,0,0,0,0,0,Yes,4
6,87,82,7.2,0,1,1,0,0,0,0,0,0,0,0,0,0,No,0
6,75,72,7.7,0,1,1,0,0,0,0,0,0,1,0,0,0,No,0
5,88,83,9,0,1,1,0,0,1,0,0,0,0,0,0,0,Yes,3.5
5,94,90,9,0,0,1,0,0,0,0,0,0,0,0,0,0,No,0
5,87,78,8.3,0,1,1,0,0,1,0,0,0,0,0,0,0,Yes,4
5,75,69,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,No,0
3,85,80,8,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,3.5
3,80,72,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,No,0
3,75,69,7.2,0,1,1,0,0,1,0,0,0,0,0,0,0,Yes,3.5
3,77,75,7.5,0,1,1,0,0,1,0,0,0,0,0,0,0,Yes,3
3,80,78,8.12,0,1,1,0,0,1,0,0,0,0,0,0,0,Yes,3.5
1,94,92,8.9,0,1,1,0,1,1,1,0,1,1,1,0,0,Yes,6.5
2,97,95,9,0,2,1,0,0,1,1,0,1,1,0,0,1,Yes,6
1,90,87,8.3,0,2,1,1,0,1,1,1,1,1,1,0,0,Yes,6
1,90,83,8.2,0,1,1,0,1,1,1,1,1,1,1,1,0,Yes,5
2,95,93,8.9,0,1,0,0,1,0,0,1,1,0,0,0,1,Yes,5.5
2,94,91,8.7,0,1,0,0,1,0,0,1,1,1,0,0,1,Yes,5
1,96,93,8.5,0,2,1,0,1,1,1,0,1,1,1,1,0,Yes,6.5
1,95,92,8.8,0,2,1,0,0,1,1,0,1,1,1,1,0,Yes,5
2,95,93,8.9,0,2,1,0,0,1,1,0,1,1,1,1,0,Yes,6
1,95,94,9,0,2,1,0,0,1,1,0,1,1,1,1,0,Yes,5.5
2,97,95,9.1,0,2,1,0,1,1,1,0,1,1,1,1,1,Yes,6
